DATA LENGTH(steps) :
1823
STEP LENGTH(sec) :
0.010000

PCz,         PEL_Q0,      PEL_Qx,      PEL_Qy,      PEL_Qz,      WST,         RSP,         RSR,         RSY,         REP,         REY,         LSP,         LSR,         LSY,         LEP,         LEY

0.621000     1.000000     0.000000     0.000000     0.000000     -0.030034    0.149219     -0.381200    0.442647     -0.534750    0.000000     0.108267     0.397518     -0.455871    -0.510306    0.000000    
0.621000     1.000000     -0.000059    -0.000036    0.000030     -0.029965    0.150778     -0.381859    0.443479     -0.534462    -0.003136    0.109897     0.398353     -0.454297    -0.508863    0.001313    
0.621000     1.000000     -0.000119    -0.000078    0.000052     -0.029900    0.152130     -0.382529    0.444487     -0.534161    -0.006034    0.111400     0.399147     -0.452944    -0.507497    0.002612    
0.621000     1.000000     -0.000177    -0.000127    0.000067     -0.029837    0.153275     -0.383209    0.445669     -0.533846    -0.008693    0.112775     0.399902     -0.451812    -0.506207    0.003897    
0.621000     1.000000     -0.000236    -0.000182    0.000074     -0.029777    0.154215     -0.383902    0.447031     -0.533520    -0.011113    0.114023     0.400617     -0.450905    -0.504994    0.005169    
0.621000     1.000000     -0.000294    -0.000244    0.000075     -0.029720    0.154946     -0.384605    0.448564     -0.533181    -0.013295    0.115143     0.401294     -0.450224    -0.503857    0.006425    
0.621000     1.000000     -0.000351    -0.000313    0.000068     -0.029665    0.155472     -0.385322    0.450267     -0.532835    -0.015240    0.116137     0.401932     -0.449765    -0.502801    0.007661    
0.621000     1.000000     -0.000409    -0.000388    0.000053     -0.029613    0.155790     -0.386052    0.452134     -0.532486    -0.016950    0.117003     0.402531     -0.449526    -0.501823    0.008872    
0.621000     1.000000     -0.000466    -0.000470    0.000032     -0.029564    0.155901     -0.386795    0.454154     -0.532137    -0.018430    0.117741     0.403092     -0.449502    -0.500927    0.010050    
0.621000     1.000000     -0.000523    -0.000559    0.000003     -0.029517    0.155805     -0.387553    0.456311     -0.531798    -0.019684    0.118351     0.403617     -0.449688    -0.500118    0.011187    
0.621000     1.000000     -0.000580    -0.000654    -0.000033    -0.029473    0.155502     -0.388326    0.458591     -0.531472    -0.020722    0.118832     0.404104     -0.450068    -0.499397    0.012272    
0.621000     1.000000     -0.000636    -0.000756    -0.000076    -0.029431    0.154994     -0.389116    0.460971     -0.531172    -0.021552    0.119185     0.404558     -0.450633    -0.498769    0.013296    
0.621000     0.999999     -0.000691    -0.000864    -0.000126    -0.029393    0.154281     -0.389925    0.463431     -0.530907    -0.022184    0.119408     0.404977     -0.451364    -0.498236    0.014250    
0.621000     0.999999     -0.000747    -0.000979    -0.000184    -0.029356    0.153368     -0.390754    0.465938     -0.530692    -0.022634    0.119501     0.405364     -0.452244    -0.497802    0.015123    
0.621000     0.999999     -0.000801    -0.001101    -0.000248    -0.029321    0.152257     -0.391605    0.468470     -0.530537    -0.022916    0.119466     0.405720     -0.453248    -0.497471    0.015905    
0.621000     0.999999     -0.000856    -0.001229    -0.000320    -0.029288    0.150952     -0.392479    0.470992     -0.530459    -0.023045    0.119304     0.406047     -0.454349    -0.497246    0.016589    
0.621000     0.999999     -0.000910    -0.001363    -0.000398    -0.029257    0.149457     -0.393379    0.473474     -0.530473    -0.023041    0.119015     0.406346     -0.455521    -0.497126    0.017168    
0.621000     0.999998     -0.000963    -0.001504    -0.000484    -0.029227    0.147779     -0.394305    0.475885     -0.530593    -0.022923    0.118602     0.406620     -0.456736    -0.497116    0.017640    
0.621000     0.999998     -0.001017    -0.001650    -0.000575    -0.029199    0.145922     -0.395261    0.478196     -0.530834    -0.022714    0.118067     0.406869     -0.457961    -0.497214    0.017999    
0.621000     0.999998     -0.001069    -0.001803    -0.000674    -0.029170    0.143895     -0.396245    0.480368     -0.531211    -0.022434    0.117414     0.407096     -0.459168    -0.497423    0.018248    
0.621000     0.999997     -0.001121    -0.001962    -0.000779    -0.029142    0.141702     -0.397259    0.482381     -0.531734    -0.022102    0.116646     0.407301     -0.460322    -0.497745    0.018385    
0.621000     0.999997     -0.001172    -0.002127    -0.000889    -0.029114    0.139352     -0.398301    0.484205     -0.532414    -0.021736    0.115769     0.407487     -0.461395    -0.498182    0.018414    
0.621000     0.999996     -0.001223    -0.002297    -0.001006    -0.029085    0.136853     -0.399371    0.485817     -0.533258    -0.021356    0.114789     0.407654     -0.462360    -0.498735    0.018337    
0.621000     0.999995     -0.001274    -0.002473    -0.001128    -0.029055    0.134212     -0.400469    0.487195     -0.534274    -0.020972    0.113710     0.407805     -0.463195    -0.499406    0.018160    
0.621000     0.999995     -0.001323    -0.002654    -0.001256    -0.029024    0.131439     -0.401593    0.488325     -0.535464    -0.020599    0.112542     0.407940     -0.463874    -0.500198    0.017884    
0.621000     0.999994     -0.001371    -0.002840    -0.001388    -0.028989    0.128542     -0.402742    0.489197     -0.536831    -0.020244    0.111291     0.408060     -0.464385    -0.501111    0.017513    
0.621000     0.999993     -0.001420    -0.003030    -0.001525    -0.028952    0.125530     -0.403912    0.489804     -0.538373    -0.019913    0.109966     0.408167     -0.464718    -0.502149    0.017052    
0.621000     0.999992     -0.001466    -0.003225    -0.001667    -0.028909    0.122416     -0.405103    0.490147     -0.540094    -0.019612    0.108576     0.408261     -0.464868    -0.503314    0.016505    
0.621000     0.999991     -0.001513    -0.003424    -0.001812    -0.028863    0.119209     -0.406312    0.490231     -0.541989    -0.019341    0.107130     0.408345     -0.464841    -0.504608    0.015875    
0.621000     0.999990     -0.001558    -0.003626    -0.001961    -0.028812    0.115919     -0.407537    0.490068     -0.544058    -0.019102    0.105637     0.408417     -0.464642    -0.506034    0.015168    
0.621000     0.999989     -0.001603    -0.003831    -0.002112    -0.028753    0.112560     -0.408776    0.489670     -0.546297    -0.018895    0.104106     0.408482     -0.464287    -0.507598    0.014392    
0.621000     0.999988     -0.001646    -0.004040    -0.002265    -0.028689    0.109140     -0.410027    0.489061     -0.548701    -0.018717    0.102549     0.408538     -0.463792    -0.509304    0.013559    
0.621000     0.999987     -0.001690    -0.004251    -0.002421    -0.028616    0.105672     -0.411288    0.488260     -0.551266    -0.018560    0.100974     0.408587     -0.463179    -0.511157    0.012679    
0.621000     0.999985     -0.001731    -0.004463    -0.002578    -0.028535    0.102164     -0.412559    0.487294     -0.553988    -0.018416    0.099387     0.408631     -0.462473    -0.513164    0.011773    
0.621000     0.999984     -0.001772    -0.004678    -0.002735    -0.028445    0.098628     -0.413838    0.486186     -0.556859    -0.018275    0.097797     0.408671     -0.461700    -0.515329    0.010857    
0.621000     0.999982     -0.001812    -0.004894    -0.002892    -0.028346    0.095069     -0.415127    0.484969     -0.559874    -0.018127    0.096207     0.408710     -0.460882    -0.517657    0.009955    
0.621000     0.999981     -0.001851    -0.005112    -0.003048    -0.028237    0.091495     -0.416427    0.483670     -0.563028    -0.017963    0.094618     0.408749     -0.460047    -0.520152    0.009089    
0.621000     0.999979     -0.001889    -0.005330    -0.003203    -0.028117    0.087911     -0.417739    0.482313     -0.566316    -0.017778    0.093030     0.408793     -0.459216    -0.522817    0.008281    
0.621000     0.999977     -0.001927    -0.005548    -0.003356    -0.027987    0.084318     -0.419067    0.480924     -0.569730    -0.017567    0.091436     0.408843     -0.458408    -0.525653    0.007556    
0.621000     0.999975     -0.001963    -0.005767    -0.003507    -0.027844    0.080717     -0.420414    0.479526     -0.573271    -0.017337    0.089825     0.408906     -0.457642    -0.528659    0.006932    
